xlength,vel,fren,marcha,revact,comb,xtime
0,0,0,0,0,100,0
26,192,20,3,2757,99.5,1
52,152,146,6,6963,99.0,2
81,58,87,5,4856,98.5,3
104,119,67,-1,293,98.0,4
133,136,35,3,2100,97.5,5
182,45,175,1,6132,97.0,6
225,189,111,1,5419,96.5,7
274,56,27,5,7763,96.0,8
300,139,169,5,2794,95.5,9
348,11,30,0,2844,95.0,10
398,120,77,0,1133,94.5,11
420,78,1,0,7863,94.0,12
445,97,40,5,2118,93.5,13
484,157,144,6,6928,93.0,14
518,0,140,3,3701,92.5,15
541,10,60,1,296,92.0,16
577,100,180,1,4369,91.5,17
626,161,165,2,4033,91.0,18
672,87,63,5,2810,90.5,19
702,68,26,0,1148,90.0,20
729,200,160,3,4118,89.5,21
765,6,72,6,5704,89.0,22
797,124,34,5,4399,88.5,23
837,64,168,2,800,88.0,24
882,42,163,3,7953,87.5,25
927,121,89,5,1528,87.0,26
976,92,117,4,816,86.5,27
1022,179,10,-1,5998,86.0,28
1048,72,70,4,3840,85.5,29
1079,95,70,0,2219,85.0,30
1121,130,106,3,4695,84.5,31
1150,66,55,0,4356,84.0,32
1186,8,171,6,6541,83.5,33
1207,101,175,4,546,83.0,34
1255,40,153,3,1989,82.5,35
1289,152,119,1,3563,82.0,36
1314,67,13,4,605,81.5,37
1361,166,31,1,1594,81.0,38
1389,38,75,1,2691,80.5,39
1416,128,173,6,6089,80.0,40
1452,172,103,-1,2177,79.5,41
1495,73,54,1,3717,79.0,42
1530,133,175,-1,4688,78.5,43
1554,170,88,0,251,78.0,44
1584,161,12,0,956,77.5,45
1604,97,63,3,2282,77.0,46
1630,51,43,4,4780,76.5,47
1679,44,118,2,7188,76.0,48
1727,130,113,5,134,75.5,49
1747,29,166,2,1005,75.0,50
1784,89,111,1,2414,74.5,51
1811,82,97,6,2911,74.0,52
1848,91,125,3,95,73.5,53
1896,126,68,5,6465,73.0,54
1931,23,64,3,4119,72.5,55
1955,96,14,1,2524,72.0,56
1997,157,114,0,6828,71.5,57
2032,148,126,6,6431,71.0,58
2066,25,80,2,7092,70.5,59
2106,194,43,5,6484,70.0,60
2141,29,104,1,2013,69.5,61
2165,188,52,0,7810,69.0,62
2196,154,20,0,6214,68.5,63
2222,112,18,1,3790,68.0,64
2258,160,75,3,6343,67.5,65
2298,168,131,2,1091,67.0,66
2329,64,159,-1,1898,66.5,67
2360,105,112,2,5719,66.0,68
2382,23,41,5,7904,65.5,69
2407,3,132,-1,1407,65.0,70
2433,94,56,3,4302,64.5,71
2459,169,60,5,5601,64.0,72
2490,124,61,4,2687,63.5,73
2517,143,158,3,5736,63.0,74
2555,71,59,6,7437,62.5,75
2581,105,113,4,1836,62.0,76
2626,8,118,3,2578,61.5,77
2672,28,122,4,7549,61.0,78
2692,50,12,6,806,60.5,79
2738,170,62,6,1869,60.0,80
2776,139,107,-1,1408,59.5,81
2804,178,174,5,2978,59.0,82
2831,79,152,4,4962,58.5,83
2864,9,125,3,1397,58.0,84
2899,106,64,0,2844,57.5,85
2922,105,101,5,3117,57.0,86
2962,83,33,3,6186,56.5,87
2992,180,178,1,3115,56.0,88
3034,45,30,4,7007,55.5,89
3058,179,131,-1,3817,55.0,90
3090,83,88,-1,3494,54.5,91
3132,84,126,3,5237,54.0,92
3176,119,54,-1,5065,53.5,93
3223,10,175,3,5026,53.0,94
3261,31,180,6,5597,52.5,95
3310,176,26,6,210,52.0,96
3345,48,122,3,684,51.5,97
3385,16,133,1,7750,51.0,98
3421,38,176,0,3233,50.5,99
3451,21,151,-1,5759,50.0,100
3472,188,98,4,4486,49.5,101
3494,180,171,4,1650,49.0,102
3533,33,10,0,6793,48.5,103
3583,90,178,2,7069,48.0,104
3630,60,166,3,7706,47.5,105
3658,14,103,1,543,47.0,106
3698,100,32,6,7560,46.5,107
3723,181,7,0,3121,46.0,108
3758,18,130,0,920,45.5,109
3792,118,130,1,1462,45.0,110
3824,196,122,0,632,44.5,111
3847,101,10,4,1424,44.0,112
3875,200,146,5,2897,43.5,113
3897,77,28,2,5463,43.0,114
3947,190,103,-1,4437,42.5,115
3973,124,164,5,3382,42.0,116
4014,155,69,-1,3726,41.5,117
4034,114,67,3,7287,41.0,118
4083,155,133,1,2445,40.5,119
4118,17,79,6,2316,40.0,120
4143,110,31,6,1302,39.5,121
4177,101,73,3,6227,39.0,122
4212,80,101,2,4300,38.5,123
4242,60,69,2,944,38.0,124
4287,101,107,5,1806,37.5,125
4337,110,150,2,5440,37.0,126
4365,186,53,5,6197,36.5,127
4387,6,105,3,698,36.0,128
4407,56,157,5,1586,35.5,129
4449,113,42,6,6170,35.0,130
4481,165,102,4,1921,34.5,131
4519,69,149,6,1205,34.0,132
4564,94,122,6,6814,33.5,133
4584,83,164,5,5502,33.0,134
4610,10,145,-1,4057,32.5,135
4644,3,126,4,422,32.0,136
4690,91,132,5,4152,31.5,137
4721,173,132,3,7546,31.0,138
4745,45,12,4,7536,30.5,139
4782,157,142,6,7804,30.0,140
4816,5,8,5,1198,29.5,141
4842,61,36,1,5879,29.0,142
4875,146,115,3,5491,28.5,143
4907,190,138,2,6620,28.0,144
4942,99,89,3,7490,27.5,145
4982,45,117,6,2219,27.0,146
5032,40,141,1,7616,26.5,147
5053,40,66,1,6209,26.0,148
5087,126,31,5,7951,25.5,149
5125,6,58,4,3487,25.0,150
5165,185,75,6,2096,24.5,151
5207,194,0,2,3586,24.0,152
5244,84,134,4,665,23.5,153
5289,148,50,0,6733,23.0,154
5327,78,86,4,4569,22.5,155
5354,89,59,6,4037,22.0,156
5379,14,25,2,3183,21.5,157
5421,168,2,6,2369,21.0,158
5448,122,52,5,3058,20.5,159
5478,0,140,4,2542,20.0,160
5503,32,25,4,759,19.5,161
5538,106,52,3,848,19.0,162
5579,98,62,1,5,18.5,163
5625,27,14,6,7123,18.0,164
5672,157,16,3,3401,17.5,165
5695,160,119,0,3253,17.0,166
5744,28,28,-1,1243,16.5,167
5785,113,145,5,3443,16.0,168
5818,117,138,2,783,15.5,169
5855,98,37,1,5843,15.0,170
5878,62,115,1,7719,14.5,171
5919,134,60,0,4648,14.0,172
5961,115,130,5,1737,13.5,173
5986,2,71,4,2392,13.0,174
6033,103,136,1,4604,12.5,175
6074,136,109,-1,532,12.0,176
6099,160,81,1,7561,11.5,177
6133,17,86,-1,4808,11.0,178
6164,44,29,0,6106,10.5,179
6212,177,25,-1,788,10.0,180
6244,49,92,1,6239,9.5,181
6284,106,106,4,255,9.0,182
6314,144,101,5,5593,8.5,183
6349,162,59,1,6790,8.0,184
6376,11,80,5,5736,7.5,185
6400,93,54,4,4620,7.0,186
6439,91,99,-1,7994,6.5,187
6480,42,147,5,2389,6.0,188
6527,105,67,5,5792,5.5,189
6548,196,97,2,5148,5.0,190
6580,164,11,2,7909,4.5,191
6616,107,0,3,1631,4.0,192
6645,85,180,3,6763,3.5,193
6685,161,31,-1,4560,3.0,194
6734,38,167,-1,7947,2.5,195
6772,35,58,1,4977,2.0,196
