xlength,vel,fren,rpm,marcha,comb,xtime,x_cord,y_cord
0,0,0,0,0,100,0,40.614537,-3.583129
25,187,127,3745,3,99.5,1,40.614536,-3.58313
54,129,44,1414,3,99.0,2,40.614537,-3.583129
81,33,97,4635,5,98.5,3,40.614536,-3.58313
125,49,102,6507,5,98.0,4,40.614537,-3.583129
158,120,158,4314,-1,97.5,5,40.614536,-3.58313
205,118,165,6776,0,97.0,6,40.614537,-3.583129
232,146,63,4115,1,96.5,7,40.614536,-3.58313
263,99,104,1188,1,96.0,8,40.614537,-3.583129
288,35,102,7390,5,95.5,9,40.614536,-3.58313
320,170,12,4348,3,95.0,10,40.614537,-3.583129
357,60,29,6738,6,94.5,11,40.614536,-3.58313
381,90,97,2049,3,94.0,12,40.614537,-3.583129
407,47,93,3568,3,93.5,13,40.614536,-3.58313
442,124,25,5830,5,93.0,14,40.614537,-3.583129
474,151,70,7552,4,92.5,15,40.614536,-3.58313
523,30,106,7014,6,92.0,16,40.614537,-3.583129
